Center,period,Product Rating (PR)
1107 - Fitso Kondapur Playtime Sports,Q-2024-04-01,3.68
1108 - Cult Gym Varthur,Q-2024-04-01,3.7
1109 - Powerr Vibes Gym,Q-2024-04-01,3.81
111 - Fluid,Q-2024-04-01,3.67
"1113 - Fitso Sector 119, Noida",Q-2024-04-01,3.65
1115 - Cult AECS-Brookfield,Q-2024-04-01,3.82
1116 - Cult Gym Budigere Cross,Q-2024-04-01,3.73
1117 - Cult Budigere Cross,Q-2024-04-01,3.92
1118 - Cult Gym Sion,Q-2024-04-01,3.77
1119 - Cult Sion,Q-2024-04-01,3.85
1120 - Cult Gym Siliguri,Q-2024-04-01,3.82
1123 - Cult Varthur,Q-2024-04-01,3.85
1125 - Cult Siliguri,Q-2024-04-01,3.98
1126 - Gold's Gym Banashankari,Q-2024-04-01,3.69
1127 - Gold's Gym NIBM,Q-2024-04-01,3.64
1128 - B3 Wellness Studio (JP Nagar),Q-2024-04-01,3.55
1129 - Fitness First Platinum Crest Mukta,Q-2024-04-01,3.55
113 - Fitness Ministry,Q-2024-04-01,3.52
1130 - Cult Gym Paschim Vihar - Rohtak Rd,Q-2024-04-01,3.69
1131 - Cult Paschim Vihar - Rohtak Rd,Q-2024-04-01,3.93
1132 - Revive Fitness,Q-2024-04-01,3.67
1133 - Step Up Fitness (Vile Parle East),Q-2024-04-01,3.74
1136 - Fit Gym Reloaded,Q-2024-04-01,3.67
1137 - IGNYT Gym (Paschim Vihar),Q-2024-04-01,3.76
1138 - Cult Gym Nallagandla - Huda,Q-2024-04-01,3.6
1139 - Cult Nallagandla - Huda,Q-2024-04-01,3.9
"114 - Cult Thane, Ghodbunder Road",Q-2024-04-01,3.91
1140 - Cult Gym Panathur,Q-2024-04-01,3.55
1141 - Cult Panathur,Q-2024-04-01,3.83
1142 - Cult Gym Patia,Q-2024-04-01,3.73
1143 - Cult Patia,Q-2024-04-01,3.93
1144 - Cult Gym Bommanahalli,Q-2024-04-01,3.65
1145 - Cult Bommanahalli,Q-2024-04-01,3.86
1146 - Reveal Fitness,Q-2024-04-01,3.78
1147 - HRX Gym JP Nagar,Q-2024-04-01,3.56
1148 - HRX Gym AS Rao Nagar,Q-2024-04-01,3.67
1149 - Cult Gym Nagarbhavi,Q-2024-04-01,3.62
115 - Cult Indiranagar,Q-2024-04-01,3.85
1150 - Cult Nagarbhavi,Q-2024-04-01,3.85
1151 - Fitso DPSG Palam Vihar,Q-2024-04-01,3.7
1152 - Fitso Thubarahalli MKR Sports Arena,Q-2024-04-01,3.66
1153 - Modest Gainz,Q-2024-04-01,3.69
1156 - Fitso E-City Nova Sports,Q-2024-04-01,3.74
1157 - Cult Gym Vyapar Kendra,Q-2024-04-01,3.59
1158 - Cult Vyapar Kendra,Q-2024-04-01,3.86
1159 - HRX Gym Kothapet,Q-2024-04-01,3.47
116 - Cult JP Nagar,Q-2024-04-01,3.84
1162 - Fitso Mahadevapura Play Plus,Q-2024-04-01,3.63
1163 - Fitso Ramamurthy Nagar Sport Fit,Q-2024-04-01,3.71
1166 - Iron Fist (Moosapet),Q-2024-04-01,3.7
1167 - Millennium Fitness Club (Banjara Hills),Q-2024-04-01,3.62
1169 - Gold's Gym (Bandra),Q-2024-04-01,3.75
117 - Cult HSR 19th Main,Q-2024-04-01,3.84
1171 - Gold's Gym (Raj Nagar Extension),Q-2024-04-01,3.54
1172 - Cult Gym Whitefield Main Rd,Q-2024-04-01,3.55
1173 - Reset Kormangla,Q-2024-04-01,4
1175 - Waves Gym,Q-2024-04-01,
1176 - Cult Gym Kasavanahalli,Q-2024-04-01,3.62
1178 - Cult Gym Thanisandra,Q-2024-04-01,3.58
"1179 - Fitnest Prime, Prashant Vihar",Q-2024-04-01,3.63
118 - Cult Sarjapur,Q-2024-04-01,3.85
1180 - Cult Gym Gurgaon Sec-56,Q-2024-04-01,3.57
1182 - Burn And Build,Q-2024-04-01,3.55
1185 - Cult Thanisandra,Q-2024-04-01,3.77
1186 - Cult Kasavanahalli,Q-2024-04-01,3.85
1187 - Cult Gurgaon Sec-56,Q-2024-04-01,3.89
1188 - Fitso Karmanghat One All,Q-2024-04-01,3.86
1189 - Vogue Health Club (JP Nagar),Q-2024-04-01,3.67
119 - Cult Bellandur,Q-2024-04-01,3.84
1190 - Laps Swimming Academy,Q-2024-04-01,4
1191 - Cult Gym Neeladri Road ECity,Q-2024-04-01,3.61
1192 - Cult Neeladri Road ECity,Q-2024-04-01,3.77
1194 - New Supergym Prime (Hoodi),Q-2024-04-01,3.7
1195 - Speed Fitness (Bandlaguda),Q-2024-04-01,3.54
1196 - Raptor Fitness (Gachibowli),Q-2024-04-01,3.62
1199 - Nice And Easy Fitness Center,Q-2024-04-01,4
120 - Cult Koramangala 80ft Rd,Q-2024-04-01,3.84
1201 - Cult Gym Attapur,Q-2024-04-01,3.6
1202 - Cult Gym Company Bagh,Q-2024-04-01,3.76
1203 - Cult Attapur,Q-2024-04-01,3.94
1206 - Cult Company Bagh,Q-2024-04-01,3.89
1207 - Elgis Fitness Gym,Q-2024-04-01,3.65
1209 - SmartFlex Fitness,Q-2024-04-01,
121 - Cult Tribe Indiranagar,Q-2024-04-01,3.84
1210 - Fitness Ace,Q-2024-04-01,
1212 - JS Fitness Studio Gym,Q-2024-04-01,
1213 - Ista Wellness and Fitness,Q-2024-04-01,4
1215 - I5 Fitness,Q-2024-04-01,3.75
1216 - Kube 9 Fitness,Q-2024-04-01,4
1217 - Oneup Fitness,Q-2024-04-01,
1218 - Rewind Fitness,Q-2024-04-01,
1220 - All Time Fitness Sector 14,Q-2024-04-01,3.4
1221 - Plus Fitness 24*7 Mazgaon,Q-2024-04-01,
1222 - Plus Fitness 24*7 Mumbai Central,Q-2024-04-01,3.67
1224 - Fitness Yard,Q-2024-04-01,
1227 - Body Morph Gym - Krishnarajapura,Q-2024-04-01,
1228 - Global Wings Fitness - Kalyan Nagar,Q-2024-04-01,4
123 - Cult Whitefield,Q-2024-04-01,3.88
1236 - Muscular Aptitude,Q-2024-04-01,3
1238 - Sykz Gym,Q-2024-04-01,
1239 - Squat Fit Gym,Q-2024-04-01,
1240 - Midtown Fitness,Q-2024-04-01,3
1241 - Reebok CrossFit,Q-2024-04-01,2.67
1243 - Iron Paradise Gym,Q-2024-04-01,
1248 - Mumbai Fitness Club,Q-2024-04-01,
125 - Cult Koramangala Bethany,Q-2024-04-01,
1250 - Elixir Gym,Q-2024-04-01,
1252 - People's Gym,Q-2024-04-01,3.75
1253 - Jupito Fitness,Q-2024-04-01,4
1256 - OTwo Gym N Spa,Q-2024-04-01,3.94
1257 - Plej Fitness - Electronic City,Q-2024-04-01,4
1258 - IFitness HSR Layout,Q-2024-04-01,3.5
1261 - Intensity Fitness Center,Q-2024-04-01,
1263 - All Time Fitness (Previously Aimfit Gym),Q-2024-04-01,3.67
1264 - Green Fitness Studio 24x7 - Electronic City,Q-2024-04-01,4
1268 - Poundd Fitness,Q-2024-04-01,3.83
1269 - Gravitaz Fit Feels Great,Q-2024-04-01,3.57
1270 - Raw Fitness,Q-2024-04-01,4
1271 - Gravitaz,Q-2024-04-01,3.95
1272 - Ultrex Recreational Club,Q-2024-04-01,4
1273 - 300 Fitness,Q-2024-04-01,3.75
1275 - Ramagya Sports Academy,Q-2024-04-01,3.81
1276 - S3 Fitness Zone,Q-2024-04-01,4
1277 - Anytime Fitness Shahdara,Q-2024-04-01,3.87
1278 - CrossFit The Fitness Garage,Q-2024-04-01,3
1279 - Body Beast Gym,Q-2024-04-01,4
1284 - Hard Corp Gym,Q-2024-04-01,4
1287 - Fitness Factory Andheri,Q-2024-04-01,4
1288 - OxyGym,Q-2024-04-01,
"129 - Cult Whitefield, Shantiniketan",Q-2024-04-01,3.87
1290 - Fighting Choice Sector 51,Q-2024-04-01,
1291 - Moltom The Fitness Lounge,Q-2024-04-01,3
1293 - Fitness 9 Secunderabad,Q-2024-04-01,4
1298 - Your Fitness Marol,Q-2024-04-01,
13 - GymX,Q-2024-04-01,3.51
1300 - V2 Fitness Zone,Q-2024-04-01,
1302 - Cross Hammer Fitness,Q-2024-04-01,1.8
1303 - Tribe Fitness Versova,Q-2024-04-01,3.5
1304 - The Krunch Fitness,Q-2024-04-01,
1309 - The Gym Health Planet Sector 30,Q-2024-04-01,3.96
1310 - Moments Fitness Hub 4.0,Q-2024-04-01,3.63
1311 - The Royal Fitness Club,Q-2024-04-01,3.66
1313 - Skale Fitness - Avadi,Q-2024-04-01,4
1314 - Aesthetics Fitness By ADS,Q-2024-04-01,3.88
1317 - Skale Fitness - Collector Nagar,Q-2024-04-01,3.64
1318 - Skale Fitness - Anna Nagar,Q-2024-04-01,3.09
"1320 - Cult Gym Fitnest Prime, Vasant Kunj",Q-2024-04-01,3.55
1324 - The Wellness Club Gym Janakpuri,Q-2024-04-01,2.5
1325 - Skale Fitness - Nolambur,Q-2024-04-01,4
1328 - Skale Fitness - Perambur II,Q-2024-04-01,3.5
1329 - The Gym Health Planet Rohini,Q-2024-04-01,4
1331 - Muscle Makeup,Q-2024-04-01,3.78
1332 - Pink Fitness - Ganapathy,Q-2024-04-01,
134 - Cult Mahadevapura,Q-2024-04-01,3.86
1340 - Fitness Point Swimming Academy Sector 56,Q-2024-04-01,3.81
1347 - Physique First Gym And Spa,Q-2024-04-01,4
135 - Cult Malleshwaram,Q-2024-04-01,3.87
1351 - Nitrro Refining Fitness,Q-2024-04-01,3.94
1354 - HYPE The Gym South City 1,Q-2024-04-01,3.5
1355 - Hustle Gym,Q-2024-04-01,3.61
1357 - Gold's Gym Bavdhan,Q-2024-04-01,4
1358 - MD Fitness,Q-2024-04-01,3
1359 - Fitness Battalion,Q-2024-04-01,4
1360 - Body Mechanic Gym,Q-2024-04-01,4
1361 - Kuber Fitness club,Q-2024-04-01,
1362 - Fitness & Conditioning Club,Q-2024-04-01,4
1363 - Maximus Your Fitness Zone,Q-2024-04-01,3.71
1364 - Mesomorph The Gym,Q-2024-04-01,
1367 - 10 Gym Malad,Q-2024-04-01,3.77
1368 - Yogic Panacea Studio,Q-2024-04-01,4
1369 - 10 Gym Dadar,Q-2024-04-01,3.5
1370 - ETG The Gym Nirman Vihar,Q-2024-04-01,4
1371 - Tip Tapp N Toe,Q-2024-04-01,4
1373 - Global Fitness Hub,Q-2024-04-01,
1376 - The Wellness Club Express Paschim Vihar,Q-2024-04-01,
138 - Cult Jayanagar,Q-2024-04-01,3.85
1380 - Chisel Punjabi Bagh,Q-2024-04-01,
1381 - Crossfit Yard,Q-2024-04-01,4
1382 - Red Rocks Gym And Spa,Q-2024-04-01,4
1383 - Gold's Gym Wakad,Q-2024-04-01,
1386 - Anytime Fitness Vikaspuri,Q-2024-04-01,3.84
1387 - Squat 2 Fit Unisex Gym,Q-2024-04-01,4
1388 - WaterWorld Aquatic Club - Kapila Resort,Q-2024-04-01,4
1389 - Corban Fitness,Q-2024-04-01,4
139 - Cult Basaveshwar Nagar,Q-2024-04-01,3.9
1391 - Gym City,Q-2024-04-01,
1392 - WaterWorld - Kothari International School,Q-2024-04-01,
1397 - Plus Fitness 24*7 South Bopal,Q-2024-04-01,3.68
1398 - Plus Fitness 24*7 Science City,Q-2024-04-01,4
1399 - Plus Fitness 24*7 Memnagar,Q-2024-04-01,
1400 - Plus Fitness 24*7 Bodakdev,Q-2024-04-01,3.11
1401 - Hyatt Pune,Q-2024-04-01,3.82
1406 - Briofit,Q-2024-04-01,3.5
1407 - Abs fitness and wellness club,Q-2024-04-01,
1408 - Tone It Right Fitness,Q-2024-04-01,
1424 - Shark Fitness (Secunderabad),Q-2024-04-01,3.66
1425 - Coreflex Pilates Studio,Q-2024-04-01,4
1427 - KL-27 Gym,Q-2024-04-01,4
1429 - Workout Wonders WOW,Q-2024-04-01,
143 - Cult RMV 2nd Stage (Deprecated),Q-2024-04-01,3.86
"1430 - Cult Gym Thane, Ghodbunder Road",Q-2024-04-01,3.8
1433 - Shred And Tone Gym,Q-2024-04-01,3.71
1434 - 93 Cross Fitness Gym and Spa Sector 82,Q-2024-04-01,2.83
1437 - Fluid Active Fitness Lajpat Nagar,Q-2024-04-01,4
1439 - Fitt Lounge Gym (By Passerine-Anand Niketan Club),Q-2024-04-01,
144 - Cult Electronic City,Q-2024-04-01,3.85
1440 - Physio Active Pro Fitness Charni Road,Q-2024-04-01,3.83
1441 - Physio Active Pro Fitness Grant Road,Q-2024-04-01,
1447 - Fitness 1 Club Unisex Gym,Q-2024-04-01,4
1448 - AS Fitness Factory,Q-2024-04-01,
1450 - 93 Cross Fitness Gym and Spa Sector 91,Q-2024-04-01,
1451 - Gold's Gym (Breach Candy),Q-2024-04-01,3.63
1452 - Evolve Fitness Ghatkopar,Q-2024-04-01,
1453 - Cult Gym Paschim Vihar - B Block,Q-2024-04-01,3.61
1454 - Cult Paschim Vihar - B Block,Q-2024-04-01,3.83
1456 - Forever Knight Fitness,Q-2024-04-01,4
1461 - Drona The Fitness Gurukul (Chandra Layout),Q-2024-04-01,3.66
1462 - The Fitness Pro,Q-2024-04-01,
1463 - Fitness Pro Elite,Q-2024-04-01,4
1466 - Da Lyfstyle Fitness,Q-2024-04-01,3.75
1470 - Cult Gym Shaikpet,Q-2024-04-01,3.54
1471 - Cult Shaikpet,Q-2024-04-01,3.88
1472 - Cult Gym Hennur,Q-2024-04-01,3.69
"1473 - Cult Gym Thubarahalli, BEML Layout",Q-2024-04-01,3.65
1475 - Cult Hennur,Q-2024-04-01,3.85
"1476 - Cult Thubarahalli, BEML Layout",Q-2024-04-01,3.86
1480 - Global Fitness,Q-2024-04-01,3.67
1481 - Physique Complete Fitness Studio,Q-2024-04-01,
1482 - AK Fitness,Q-2024-04-01,3
1484 - Amritam Yoga Foundation,Q-2024-04-01,4
"1486 - Gold's Gym (Kandivali East, Thakur Mall)",Q-2024-04-01,3.72
149 - Cult Hauz Khas,Q-2024-04-01,3.89
1493 - Fit Hardy Club,Q-2024-04-01,4
1495 - Dark Sweat Health Club,Q-2024-04-01,3.8
1496 - Battle Fit Gym (Sarvodaya Enclave),Q-2024-04-01,3.69
1497 - Cult Gym Kompally,Q-2024-04-01,3.83
1498 - Cult Gym Model Town,Q-2024-04-01,3.7
1499 - Cult Gym Dilsukhnagar,Q-2024-04-01,3.67
15 - GymX Marathahalli,Q-2024-04-01,3.56
1500 - Cult Gym Preet Vihar,Q-2024-04-01,3.65
1501 - Cult Gym Hoodi Main,Q-2024-04-01,3.71
"1502 - Cult Gym Whitefield, Shantiniketan",Q-2024-04-01,3.77
1503 - Cult Gym Koramangala 80 Ft Road,Q-2024-04-01,3.63
1505 - Fitness Cafe 365,Q-2024-04-01,4
1508 - Posh Fitness,Q-2024-04-01,
1510 - Fitamaze Gym And Fitness Centre,Q-2024-04-01,
1513 - AthaYog Living,Q-2024-04-01,
1515 - Cult Gym Gachibowli - Indira Nagar,Q-2024-04-01,3.69
1516 - Body Temple Gym,Q-2024-04-01,
1517 - Hype The Gym Sector 10,Q-2024-04-01,
152 - Cult Banashankari,Q-2024-04-01,3.86
1520 - Stepon Fitness Center,Q-2024-04-01,3
1521 - Fitnessize,Q-2024-04-01,4
1522 - Gym Beats Club,Q-2024-04-01,4
1523 - Skale Fitness - Chinmaya Nagar,Q-2024-04-01,
1526 - HY Dance Studio,Q-2024-04-01,4
1529 - Muscletech Fitness,Q-2024-04-01,4
1531 - Raptor Fitness,Q-2024-04-01,3.56
1537 - Revive Fitness Solutions,Q-2024-04-01,
154 - Cult JP Nagar 7th Phase,Q-2024-04-01,3.86
1541 - Ovalnet Badminton Academy,Q-2024-04-01,3.8
1542 - Ninja Fitness,Q-2024-04-01,
1543 - Reforma Fitness Center,Q-2024-04-01,
1544 - Fitness Legacy,Q-2024-04-01,3.57
1546 - Foundry Active (Kaggadasapura) - GX,Q-2024-04-01,3.72
1548 - Healthy Vibes Fitness Centre,Q-2024-04-01,3.5
1549 - Fit 360 Chintalkunta,Q-2024-04-01,3.5
155 - Cult Harlur (deprecated),Q-2024-04-01,3.87
1551 - Fit 360 Nagole,Q-2024-04-01,4
1552 - Built Fitness,Q-2024-04-01,
"1553 - Cult Gym Rajouri Garden, Z Block",Q-2024-04-01,3.57
"1554 - Cult Rajouri Garden, Z Block",Q-2024-04-01,3.92
1557 - Gym Spirit,Q-2024-04-01,
1558 - Fitness Fast Jubilee Hills,Q-2024-04-01,
156 - Cult Sahakar Nagar,Q-2024-04-01,3.89
1560 - The Core Fit Gym,Q-2024-04-01,3.52
1563 - The Park Bangalore,Q-2024-04-01,3.25
1566 - Studio 19,Q-2024-04-01,3.5
1569 - Tap Out,Q-2024-04-01,4
157 - Cult Marathahalli,Q-2024-04-01,3.82
1573 - Zest Fitness Studio - Electronics City,Q-2024-04-01,3.5
1579 - Revive 360 Degree,Q-2024-04-01,
1586 - Volt Fitness Studio (Begumpet),Q-2024-04-01,3.6
1587 - Fitdeh Fitness Gym,Q-2024-04-01,3.43
159 - Cult Yelahanka,Q-2024-04-01,3.92
1596 - O2 Health Studio Okkiyam - Thuraipakkam,Q-2024-04-01,3.86
1598 - V2 Health Studio,Q-2024-04-01,3.27
1599 - Virtu Fitness- Madipakkam,Q-2024-04-01,3.52
160 - Cult Bannerghatta Main Rd,Q-2024-04-01,3.91
161 - Cult RR Nagar,Q-2024-04-01,3.87
1615 - Lead Fitness,Q-2024-04-01,3.81
1616 - C3 Fitness- Royapuram,Q-2024-04-01,3.71
1617 - C3 Fitness- MKB Nagar,Q-2024-04-01,4
162 - Cult Kannamangala,Q-2024-04-01,3.89
1627 - R Fitness Center - Uppal,Q-2024-04-01,4
163 - Cult RT Nagar (deprecated),Q-2024-04-01,3.84
"1631 - Cult Gym Rohini, Sector 11",Q-2024-04-01,3.48
"1632 - Cult Gym Tulip Chowk, Sector 69",Q-2024-04-01,3.63
1634 - Cult Gym Thanisandra (Near Bhartiya City),Q-2024-04-01,3.67
"1635 - Cult Gym Srinivasapura, RR Nagar",Q-2024-04-01,3.71
1638 - Dancend,Q-2024-04-01,
"1639 - Cult Rohini, Sector 11",Q-2024-04-01,3.93
"1640 - Cult Tulip Chowk, Sector 69",Q-2024-04-01,3.91
1644 - Cult Thanisandra (Near Bhartiya City),Q-2024-04-01,3.85
"1645 - Cult Srinivasapura, RR Nagar",Q-2024-04-01,3.91
1648 - Fusion Fitness - Aliganj,Q-2024-04-01,
1655 - SR Indoor Swimming Pool Miyapur,Q-2024-04-01,3
1661 - Cult South Extension,Q-2024-04-01,3.67
1662 - Emerge,Q-2024-04-01,
1669 - Burn Out Elite Unisex Fitness Studio - Kolathur,Q-2024-04-01,3.8
167 - Cult Banjara Hills,Q-2024-04-01,3.88
1670 - B2W-BORN To Win Unisex Health And Fitness Studio,Q-2024-04-01,
1676 - Gold's Gym (Eco World Bellandur),Q-2024-04-01,3.77
1677 - Cult.Play JP Nagar The BigBox,Q-2024-04-01,3.67
1678 - Pump Nation Fitness,Q-2024-04-01,
168 - Cult Kondapur,Q-2024-04-01,3.87
1681 - Body Scientist Gym,Q-2024-04-01,3.67
"1684 - Cult Fitnest Prime, Prashant Vihar",Q-2024-04-01,3.9
1692 - Vibe Fitness Studio (Kompally),Q-2024-04-01,3.77
1696 - Rudebox,Q-2024-04-01,
1697 - Raptor Fitness,Q-2024-04-01,3.59
1698 - F99 Fit (Pragathi Nagar),Q-2024-04-01,3.78
17 - 121 Premium Fitness Studio,Q-2024-04-01,4
170 - Cult Kukatpally,Q-2024-04-01,3.88
171 - Cult Vasant Kunj,Q-2024-04-01,3.9
1712 - Cult Gym Bahu Plaza Main,Q-2024-04-01,3.72
1717 - Cult Bahu Plaza Main,Q-2024-04-01,3.81
172 - Cult Gachibowli,Q-2024-04-01,3.87
1720 - Ride Studio Bandra,Q-2024-04-01,4
1723 - Fun and Fit Pvt Ltd Dombivali East,Q-2024-04-01,
1732 - Gold's Gym (Sarjapur),Q-2024-04-01,3.85
1735 - My Gym New Panvel,Q-2024-04-01,
174 - Cult Rajouri Garden,Q-2024-04-01,3.91
1758 - 10 The Health Spa - Bandra West,Q-2024-04-01,4
1760 - Patels Gym,Q-2024-04-01,
1762 - Fitness Art,Q-2024-04-01,2
1771 - Pavillion Fitness,Q-2024-04-01,
1772 - LC Fitness Club,Q-2024-04-01,4
1774 - Khalsa Gym,Q-2024-04-01,4
1776 - Crunch Fitness Club,Q-2024-04-01,4
1789 - HighFit Fitness Balewadi,Q-2024-04-01,
1791 - Elite Fit Katraj,Q-2024-04-01,
1794 - Physc Gym-Talegoan,Q-2024-04-01,
1797 - Physc Gym-Hadapsar,Q-2024-04-01,4
18 - Fit 24,Q-2024-04-01,3.61
1801 - DNA Fitness,Q-2024-04-01,
1802 - Physc Gym-Pimpri,Q-2024-04-01,4
1805 - Fusion Fitness Academy,Q-2024-04-01,
1809 - Warrior Gym,Q-2024-04-01,3.92
1812 - Cult Gym Lokhandwala,Q-2024-04-01,3.79
1815 - Urbounce Fitness,Q-2024-04-01,
182 - Cult Basavanagudi,Q-2024-04-01,3.87
1822 - Planet health Center,Q-2024-04-01,4
1825 - Rebound Wellness,Q-2024-04-01,4
1829 - Luxury Akhada Punjabi Bagh,Q-2024-04-01,
183 - Cult Chandra Layout Maruthi Nagar,Q-2024-04-01,3.88
1830 - Boss Fitness - Vinayagapuram,Q-2024-04-01,2.67
1831 - Boss Fitness - TVS Nagar,Q-2024-04-01,2
1833 - Boss Fitness -  Keeranatham,Q-2024-04-01,3.38
1835 - Boss Fitness -  Vadavalli,Q-2024-04-01,3.5
184 - Cult Begumpet,Q-2024-04-01,3.88
1840 - Cult Gym Mittal's City Mall Bathinda,Q-2024-04-01,3.7
1844 - Five The Fitness Hive,Q-2024-04-01,3.61
1845 - Luxury Akhada Vikaspuri,Q-2024-04-01,3.33
1848 - Iconic Fitness,Q-2024-04-01,
1849 - Physc Gym- Bhosari,Q-2024-04-01,
1850 - Cult Gym Banjara Hills,Q-2024-04-01,3.68
1851 - Swimlife-Cult.Play-Museum Road,Q-2024-04-01,3.62
1852 - HRX Gym RR Nagar,Q-2024-04-01,3.62
1854 - The Bodyline Gym Sector 55,Q-2024-04-01,4
1855 - Luxury Akhada Ashok Vihar,Q-2024-04-01,1
1856 - Aura Gymz,Q-2024-04-01,3
1860 - Xumo Fitness,Q-2024-04-01,
1866 - Anytime Fitness Punjabi Bagh,Q-2024-04-01,4
1867 - Anytime Fitness Palam Vihar,Q-2024-04-01,3.9
1868 - Anytime Fitness Vishal Enclave,Q-2024-04-01,3.5
1869 - Anytime Fitness Rajouri Garden,Q-2024-04-01,4
1871 - Cult Gachibowli - Indira Nagar,Q-2024-04-01,3.89
1872 - Cult Gym BTM 2nd Stage,Q-2024-04-01,3.41
1877 - Cult Mittal's City Mall Bathinda,Q-2024-04-01,3.96
1893 - Sehat World,Q-2024-04-01,
1896 - Daybreakers X Wellness Gym,Q-2024-04-01,
1898 - Delhi Combat MMA And Crossfit,Q-2024-04-01,
1899 - Fighting Choice Sector 141,Q-2024-04-01,
1902 - Raw Crossfit,Q-2024-04-01,4
1903 - Callipygian Gym,Q-2024-04-01,
191 - Cult Janakpuri,Q-2024-04-01,3.92
192 - Cult Patel Nagar,Q-2024-04-01,3.95
1922 - Evolve Fitness Airoli,Q-2024-04-01,
1929 - Perfect Strength Fitness Club,Q-2024-04-01,
193 - Cult Kalyan Nagar,Q-2024-04-01,3.85
1930 - Bodh CrossFit,Q-2024-04-01,4
1931 - Gold's Gym Mulund West,Q-2024-04-01,3.38
1932 - Cult Elpro Mall-PCMC,Q-2024-04-01,3.89
1933 - Achiever Gym,Q-2024-04-01,4
1934 - FIT I'M GYM,Q-2024-04-01,4
1935 - BodyCult Gym,Q-2024-04-01,
1937 - Anand Fitness Vision,Q-2024-04-01,
194 - Cult Botanical Garden Rd,Q-2024-04-01,3.87
1940 - Rigid Fitness,Q-2024-04-01,
1943 - Activ8 Studio - Juhu,Q-2024-04-01,
1950 - Third Eye Fitness,Q-2024-04-01,3.75
1952 - Anytime Fitness Navrangpura,Q-2024-04-01,4
1953 - Colosseum Gym,Q-2024-04-01,
1962 - Cult Gym Hesarghatta Road,Q-2024-04-01,3.67
1963 - Mobb Gym,Q-2024-04-01,4
1964 - Alpha Body Works,Q-2024-04-01,
1967 - Cult Hesaraghatta Road,Q-2024-04-01,3.91
1968 - Cult Gym Hennur Gardens (earlier Kothanur),Q-2024-04-01,3.8
1969 - Cult Gym Sarjapur - Dommasandra,Q-2024-04-01,3.76
1970 - Cult Sarjapur - Dommasandra,Q-2024-04-01,3.88
"1971 - Cult Gym HRBR Layout, Banaswadi",Q-2024-04-01,3.63
"1972 - Cult HRBR Layout, Banaswadi",Q-2024-04-01,3.82
1973 - Fit Circle Community,Q-2024-04-01,4
1975 - Component Fitness Janakpuri,Q-2024-04-01,3.66
1978 - O2 Gym,Q-2024-04-01,4
1979 - Shred Fitness,Q-2024-04-01,3.53
1985 - Divine Fitness,Q-2024-04-01,3.63
1987 - Fit Lifez - Kukatpally,Q-2024-04-01,
1989 - RDX Arena Pro (Ex: Meraki Fitness Studio (Sec - 122)),Q-2024-04-01,3.4
1991 - Cult Gym Lower Parel,Q-2024-04-01,3.73
1992 - Cult Lower Parel,Q-2024-04-01,3.88
1995 - L7 Fitness Studio (Ex Commando Fitness),Q-2024-04-01,3.58
1996 - Cult Gym Chembur,Q-2024-04-01,3.84
1997 - Cult Hennur Gardens (earlier Kothanur),Q-2024-04-01,3.89
1999 - Cult Gym Puppalaguda,Q-2024-04-01,3.7
20 - Moments Fitness Hub 2.0,Q-2024-04-01,3.63
200 - Cult Madinaguda,Q-2024-04-01,3.9
2000 - Pro Addicts Fitness and Gym,Q-2024-04-01,
2002 - Leeroy Fitness,Q-2024-04-01,
2005 - Cult Gym RR Nagar Ideal Homes Layout,Q-2024-04-01,3.71
2006 - Cult Gym Banashankari 3rd Stage,Q-2024-04-01,3.69
2007 - Cult Banashankari 3rd Stage,Q-2024-04-01,3.85
2008 - Cult Puppalaguda,Q-2024-04-01,3.9
201 - Cult Pitampura,Q-2024-04-01,3.87
2011 - Fitness Xpress Greater Noida,Q-2024-04-01,
2014 - Body Sculpt - The Personal Training Studio,Q-2024-04-01,
2015 - R Fitness - Boduppal,Q-2024-04-01,
2017 - Infiniti Fitness - Rethibowli,Q-2024-04-01,
2018 - Cult Gym Vijayanagar,Q-2024-04-01,3.58
"2019 - Cult Gym Wave One, Sec-18",Q-2024-04-01,3.79
202 - Cult Whitefield Hopefarm,Q-2024-04-01,3.84
2020 - Cult Vijayanagar,Q-2024-04-01,3.82
"2021 - Cult Wave One, Sec-18",Q-2024-04-01,3.84
2023 - GymX Fitness Redefined (HBR Layout),Q-2024-04-01,3.63
203 - Cult Frazer Town,Q-2024-04-01,3.83
2030 - Area 61,Q-2024-04-01,4
2037 - Fit24 - Uttarahalli,Q-2024-04-01,4
2041 - Elevate Wellness Club Sector 32,Q-2024-04-01,4
2046 - Quadz Fitness - Rajajinagar 1st Block,Q-2024-04-01,3
2048 - Quadz Fitness - Mahalakshmilayout,Q-2024-04-01,2
2051 - Figure Factory Gym,Q-2024-04-01,
2053 - A2B Fitness Club,Q-2024-04-01,
2054 - The Fit Tribe,Q-2024-04-01,4
2058 - Fitness Warehouse Pitampura,Q-2024-04-01,
2060 - City Point Fitness,Q-2024-04-01,
2064 - Slam Fitness - Gerugambakkam,Q-2024-04-01,3.5
2065 - Slam Fitness - Kattupakkam,Q-2024-04-01,3.38
2067 - Slam Fitness - Ambattur,Q-2024-04-01,4
2069 - Nitrro Wellness and Fitness Hub Kothrud,Q-2024-04-01,2.5
208 - Cult Model Town,Q-2024-04-01,3.87
2080 - 4 Fitness Gym,Q-2024-04-01,
2083 - All Time Fitness,Q-2024-04-01,3.7
